USER,RUNTUME (s),CPUTIME (s),MEMORY (GB),IO (GB)
cweidema,20671482,25401633.079,119140910.737,180621.736
elliot.smith,21,0.067,0.000,0.000
healeym,3,0.040,0.000,0.000
jfm2,111061,5.660,0.093,0.074
jkragel,23348,1.771,0.027,0.020
jostein,205091,0.186,0.000,0.000
lyj,69431,0.181,0.000,0.000
niclong,40733,0.790,0.002,0.004
ramayya,305,285.677,528.427,0.717
salman.qasim,47082,0.028,0.000,0.000
sudas,2060780,1913583.104,2000240.464,1128.452
timothy.sheehan,949373,3.570,0.039,0.027
uma.mohan,160778,0.340,0.000,0.000
